question,create_table,sql,table_name
What is the number for the international with 669 domestic earlier than 2005?,"CREATE TABLE 2-17673820-2 (
  ""Year"" TEXT,
  ""Domestic"" TEXT,
  ""International"" TEXT,
  ""Total"" TEXT,
  ""Change"" TEXT
);","SELECT AVG(""International"") FROM 2-17673820-2 WHERE ""Domestic"" = 669 AND ""Year"" < 2005",2-17673820-2
What position(s) does the player drafted #34 play?,"CREATE TABLE 1-14650373-1 (
  ""Pick__"" TEXT,
  ""NFL_Team"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Position"" FROM 1-14650373-1 WHERE ""Pick__"" = 34",1-14650373-1
"What is the average Gold award that has a Silver award greater than 2, and a Bronze award less than 13, and a Total greater than 24?","CREATE TABLE 2-12573588-9 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Gold"") FROM 2-12573588-9 WHERE ""Silver"" > 2 AND ""Bronze"" < 13 AND ""Total"" > 24",2-12573588-9
What country came in third when there were 13 teams in 1996?,"CREATE TABLE 2-15526447-1 (
  ""Season"" TEXT,
  ""Venue"" TEXT,
  ""Teams"" TEXT,
  ""Drivers"" TEXT,
  ""Champion"" TEXT,
  ""Second"" TEXT,
  ""Third"" TEXT
);","SELECT ""Third"" FROM 2-15526447-1 WHERE ""Teams"" = 13 AND ""Season"" = 1996",2-15526447-1
What is the number of bronze when the total is smaller than 1?,"CREATE TABLE 2-1877416-2 (
  ""Rank"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Bronze"") FROM 2-1877416-2 WHERE ""Total"" < 1",2-1877416-2
What is the make of the car that drove 54 laps?,"CREATE TABLE 2-10158277-2 (
  ""Driver"" TEXT,
  ""Constructor"" TEXT,
  ""Laps"" TEXT,
  ""Time_Retired"" TEXT,
  ""Grid"" TEXT
);","SELECT ""Constructor"" FROM 2-10158277-2 WHERE ""Laps"" = 54",2-10158277-2
Which school of club team has a pick of 46?,"CREATE TABLE 2-15093704-1 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""School_Club_Team"" TEXT
);","SELECT ""School_Club_Team"" FROM 2-15093704-1 WHERE ""Pick"" = 46",2-15093704-1
What is the average goals against average for those playing more than 78 games?,"CREATE TABLE 2-12453414-9 (
  ""Player"" TEXT,
  ""Years"" TEXT,
  ""Games_played"" TEXT,
  ""Goals_allowed"" TEXT,
  ""Goals_against_average"" TEXT
);","SELECT AVG(""Goals_against_average"") FROM 2-12453414-9 WHERE ""Games_played"" > 78",2-12453414-9
What constructor has less than 3 laps and grid 15?,"CREATE TABLE 2-1122050-2 (
  ""Driver"" TEXT,
  ""Constructor"" TEXT,
  ""Laps"" TEXT,
  ""Time_Retired"" TEXT,
  ""Grid"" TEXT
);","SELECT ""Constructor"" FROM 2-1122050-2 WHERE ""Laps"" < 3 AND ""Grid"" = 15",2-1122050-2
"What's the sum of WIns with Draws that's larger than 1, Losses that's smaller than 4, and Conceded of 20?","CREATE TABLE 2-14911550-1 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Wins"" TEXT,
  ""Draws"" TEXT,
  ""Losses"" TEXT,
  ""Scored"" TEXT,
  ""Conceded"" TEXT,
  ""Points"" TEXT
);","SELECT SUM(""Wins"") FROM 2-14911550-1 WHERE ""Draws"" > 1 AND ""Losses"" < 4 AND ""Conceded"" = 20",2-14911550-1
