,reference_tables,predicted_tables
0,manufacturers,manufacturers
1,manufacturers,manufacturers
2,"products, manufacturers","products, manufacturers"
3,manufacturers,manufacturers
4,manufacturers,manufacturers
5,manufacturers,manufacturers
6,manufacturers,manufacturers
7,products,products
8,"products, manufacturers","products, manufacturers"
9,products,products
10,products,products
11,manufacturers,manufacturers
12,"products, manufacturers","products, manufacturers"
13,manufacturers,manufacturers
14,products,products
15,products,products
16,products,products
17,"products, manufacturers","products, manufacturers"
18,products,products
19,manufacturers,manufacturers
20,manufacturers,manufacturers
21,manufacturers,manufacturers
22,"products, manufacturers","products, manufacturers"
23,manufacturers,manufacturers
24,"products, manufacturers","products, manufacturers"
25,manufacturers,manufacturers
26,manufacturers,manufacturers
27,products,products
28,products,products
29,manufacturers,manufacturers
30,products,products
31,manufacturers,manufacturers
32,"products, manufacturers","products, manufacturers"
33,"products, manufacturers","products, manufacturers"
34,products,products
35,manufacturers,manufacturers
36,manufacturers,manufacturers
37,manufacturers,manufacturers
38,"products, manufacturers","products, manufacturers"
39,manufacturers,manufacturers
40,products,products
41,manufacturers,manufacturers
42,"products, manufacturers","products, manufacturers"
43,"products, manufacturers","products, manufacturers"
44,"products, manufacturers","products, manufacturers"
45,manufacturers,manufacturers
46,products,products
47,manufacturers,manufacturers
48,products,products
49,manufacturers,manufacturers
50,products,products
51,products,products
52,"products, manufacturers","products, manufacturers"
53,manufacturers,manufacturers
54,manufacturers,manufacturers
55,products,products
56,manufacturers,manufacturers
57,"products, manufacturers","products, manufacturers"
58,manufacturers,manufacturers
59,products,products
60,manufacturers,manufacturers
61,"products, manufacturers","products, manufacturers"
62,"manufacturers, products","manufacturers, products"
63,products,products
64,manufacturers,manufacturers
65,manufacturers,manufacturers
66,manufacturers,manufacturers
67,manufacturers,manufacturers
68,"manufacturers, products","manufacturers, products"
69,products,products
70,manufacturers,manufacturers
71,"products, manufacturers","products, manufacturers"
72,video_games,video_games
73,sportsinfo,sportsinfo
74,sportsinfo,sportsinfo
75,"student, sportsinfo","student, sportsinfo"
76,"sportsinfo, student","sportsinfo, student"
77,student,student
78,video_games,video_games
79,plays_games,plays_games
80,"student, sportsinfo","student, sportsinfo"
81,sportsinfo,sportsinfo
82,student,student
83,plays_games,plays_games
84,"sportsinfo, student","sportsinfo, student"
85,"sportsinfo, student","sportsinfo, student"
86,"student, sportsinfo","student, sportsinfo"
87,video_games,video_games
88,video_games,video_games
89,"plays_games, video_games","plays_games, video_games"
90,plays_games,plays_games
91,video_games,video_games
92,"plays_games, video_games, student","plays_games, video_games, student"
93,student,student
94,sportsinfo,sportsinfo
95,"plays_games, video_games","plays_games, video_games"
96,sportsinfo,sportsinfo
97,"sportsinfo, student","sportsinfo, student"
98,"sportsinfo, student","sportsinfo, student"
99,"student, sportsinfo","student, sportsinfo"
100,student,student
101,student,student
102,"student, plays_games, video_games","student, plays_games, video_games"
103,video_games,video_games
104,sportsinfo,sportsinfo
105,sportsinfo,sportsinfo
106,"sportsinfo, student","sportsinfo, student"
107,"student, sportsinfo","student, sportsinfo"
108,sportsinfo,sportsinfo
109,"student, sportsinfo","student, sportsinfo"
110,"sportsinfo, plays_games","sportsinfo, plays_games"
111,sportsinfo,sportsinfo
112,video_games,video_games
113,video_games,video_games
114,sportsinfo,sportsinfo
115,sportsinfo,sportsinfo
116,video_games,video_games
117,sportsinfo,sportsinfo
118,"student, sportsinfo","sportsinfo, student"
119,video_games,video_games
120,student,student
121,plays_games,plays_games
122,"plays_games, video_games, student","plays_games, video_games, student"
123,"student, plays_games, video_games","student, plays_games, video_games"
124,video_games,video_games
125,video_games,video_games
126,video_games,video_games
127,video_games,video_games
128,sportsinfo,sportsinfo
129,"sportsinfo, student","sportsinfo, student"
130,plays_games,plays_games
131,video_games,video_games
132,"student, plays_games","student, plays_games"
133,"sportsinfo, student","sportsinfo, student"
134,student,student
135,sportsinfo,sportsinfo
136,"plays_games, video_games","plays_games, video_games"
137,student,student
138,"student, sportsinfo","student, sportsinfo"
139,plays_games,plays_games
140,video_games,video_games
141,student,student
142,sportsinfo,sportsinfo
143,sportsinfo,sportsinfo
144,"sportsinfo, plays_games","sportsinfo, plays_games"
145,"sportsinfo, student","sportsinfo, student"
146,video_games,video_games
147,student,student
148,sportsinfo,sportsinfo
149,sportsinfo,sportsinfo
150,musical,musical
151,"actor, musical","actor, musical"
152,"actor, musical","actor, musical"
153,"actor, musical","actor, musical"
154,musical,musical
155,musical,musical
156,musical,musical
157,actor,actor
158,actor,actor
159,actor,actor
160,actor,actor
161,musical,musical
162,actor,actor
163,musical,musical
164,musical,musical
165,"actor, musical","actor, musical"
166,actor,actor
167,musical,musical
168,actor,actor
169,actor,actor
170,actor,actor
171,musical,musical
172,actor,actor
173,musical,musical
174,"actor, musical","actor, musical"
175,"musical, actor","musical, actor"
176,musical,musical
177,"actor, musical","actor, musical"
178,musical,musical
179,"actor, musical","actor, musical"
180,musical,musical
181,musical,musical
182,actor,actor
183,"actor, musical","actor, musical"
184,actor,actor
185,musical,musical
186,entrepreneur,entrepreneur
187,entrepreneur,entrepreneur
188,"entrepreneur, people","entrepreneur, people"
189,entrepreneur,entrepreneur
190,entrepreneur,entrepreneur
191,"entrepreneur, people","entrepreneur, people"
192,entrepreneur,entrepreneur
193,"entrepreneur, people","entrepreneur, people"
194,entrepreneur,entrepreneur
195,"people, entrepreneur","people, entrepreneur"
196,"entrepreneur, people","entrepreneur, people"
197,entrepreneur,entrepreneur
198,"entrepreneur, people","entrepreneur, people"
199,people,people
200,"people, entrepreneur","people, entrepreneur"
201,"entrepreneur, people","entrepreneur, people"
202,entrepreneur,entrepreneur
203,people,people
204,"entrepreneur, people","entrepreneur, people"
205,people,people
206,entrepreneur,entrepreneur
207,entrepreneur,entrepreneur
208,entrepreneur,entrepreneur
209,entrepreneur,entrepreneur
210,entrepreneur,entrepreneur
211,"entrepreneur, people","entrepreneur, people"
212,entrepreneur,entrepreneur
213,entrepreneur,entrepreneur
214,"entrepreneur, people","entrepreneur, people"
215,"entrepreneur, people","entrepreneur, people"
216,"entrepreneur, people","entrepreneur, people"
217,"entrepreneur, people","entrepreneur, people"
218,"entrepreneur, people","entrepreneur, people"
219,entrepreneur,entrepreneur
220,"entrepreneur, people","entrepreneur, people"
