reference_tables,predicted_tables
manufacturers,manufacturers
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
manufacturers,None
manufacturers,manufacturers
manufacturers,manufacturers
manufacturers,manufacturers
products,products
"products, manufacturers","products, manufacturers"
products,products
products,products
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
products,products
products,products
products,products
"products, manufacturers","products, manufacturers"
products,products
manufacturers,manufacturers
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
manufacturers,manufacturers
manufacturers,manufacturers
products,products
products,products
products,products
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
"products, manufacturers",products
products,products
manufacturers,manufacturers
manufacturers,manufacturers
manufacturers,manufacturers
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
"products, manufacturers","products, manufacturers"
manufacturers,manufacturers
products,products
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
manufacturers,manufacturers
manufacturers,None
"products, manufacturers","products, manufacturers"
"products, manufacturers","products, manufacturers"
manufacturers,manufacturers
manufacturers,manufacturers
products,products
products,products
products,products
"products, manufacturers",products
manufacturers,manufacturers
manufacturers,manufacturers
products,products
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
manufacturers,manufacturers
products,products
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
"manufacturers, products",None
products,products
manufacturers,city
manufacturers,manufacturers
products,products
manufacturers,manufacturers
"manufacturers, products",None
"products, manufacturers","products, manufacturers"
products,products
manufacturers,manufacturers
"products, manufacturers","products, manufacturers"
sportsinfo,sportsinfo
sportsinfo,sportsinfo
"student, sportsinfo","student, sportsinfo"
"sportsinfo, student","sportsinfo, student"
student,student
video_games,video_games
plays_games,plays_games
"student, sportsinfo","student, sportsinfo"
sportsinfo,sportsinfo
student,student
plays_games,plays_games
"sportsinfo, student","sportsinfo, student"
"sportsinfo, student","sportsinfo, student"
"student, sportsinfo","student, sportsinfo"
video_games,video_games
video_games,video_games
"plays_games, video_games","plays_games, video_games"
plays_games,plays_games
video_games,video_games
"student, sportsinfo","student, sportsinfo"
"plays_games, video_games, student","plays_games, student, video_games"
"student, plays_games","student, plays_games"
"sportsinfo, student","sportsinfo, student"
student,student
