db_id,question,query,correct_tables
manufactory_1,Find the total revenue of companies of each founder.,"SELECT SUM(revenue) ,  founder FROM manufacturers GROUP BY founder",manufacturers
manufactory_1,Find the number of manufactures that are based in Tokyo or Beijing.,SELECT COUNT(*) FROM manufacturers WHERE headquarter  =  'Tokyo' OR headquarter  =  'Beijing',manufacturers
manufactory_1,Select the name of each manufacturer along with the name and price of its most expensive product.,"SELECT t1.name ,  MAX(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,Return the number of companies created by Andy.,SELECT COUNT(*) FROM manufacturers WHERE founder  =  'Andy',manufacturers
manufactory_1,Who is the founders of companies whose first letter is S?,SELECT founder FROM manufacturers WHERE name LIKE 'S%',manufacturers
manufactory_1,Who is the founder of Sony?,SELECT founder FROM manufacturers WHERE name  =  'Sony',manufacturers
manufactory_1,"What are the average, maximum and total revenues of all companies?","SELECT AVG(revenue) ,  MAX(revenue) ,  SUM(revenue) FROM manufacturers",manufacturers
manufactory_1,What is the average price across all products?,SELECT AVG(price) FROM products,products
manufactory_1,What are the names of products produced by both Creative Labs and Sony?,SELECT t1.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t2.name  =  'Creative Labs' INTERSECT SELECT t1.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t2.name  =  'Sony',"products, manufacturers"
manufactory_1,What are the names of products with price at most 200?,SELECT name FROM products WHERE price  <=  200,products
manufactory_1,Compute the number of products with a price larger than or equal to $180.,SELECT COUNT(*) FROM products WHERE price >= 180,products
manufactory_1,"Find all manufacturers' names and their headquarters, sorted by the ones with highest revenue first.","SELECT name ,  headquarter FROM manufacturers ORDER BY revenue DESC",manufacturers
manufactory_1,"What is all the product data, as well as  each product's manufacturer?",SELECT * FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code,"products, manufacturers"
manufactory_1,Compute the average price of all products with manufacturer code equal to 2.,SELECT AVG(price) FROM products WHERE manufacturer  =  2,products
manufactory_1,"What are the average prices of products, grouped by manufacturer code?","SELECT AVG(price) ,  manufacturer FROM products GROUP BY manufacturer",products
manufactory_1,Select the names of all the products in the store.,SELECT name FROM products,products
manufactory_1,How many different products are produced in each headquarter city?,"SELECT COUNT(DISTINCT t1.name) ,  t2.headquarter FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.headquarter","products, manufacturers"
manufactory_1,What are the names and prices of all products in the store?,"SELECT name ,  price FROM products",products
manufactory_1,What is the headquarter of the company whose founder is James?,SELECT headquarter FROM manufacturers WHERE founder  =  'James',manufacturers
manufactory_1,What are the names of companies with revenue less than the lowest revenue of any manufacturer in Austin?,SELECT name FROM manufacturers WHERE revenue  <  (SELECT MIN(revenue) FROM manufacturers WHERE headquarter  =  'Austin'),manufacturers
manufactory_1,"What are the average prices of products, grouped by manufacturer name?","SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,Return the founder of Sony.,SELECT founder FROM manufacturers WHERE name  =  'Sony',manufacturers
manufactory_1,How many products are there for each manufacturer?,"SELECT COUNT(*) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,Find the total revenue created by the companies whose headquarter is located at Austin.,SELECT SUM(revenue) FROM manufacturers WHERE headquarter  =  'Austin',manufacturers
manufactory_1,"What are the names, headquarters and founders of the company with the highest revenue?","SELECT name ,  headquarter ,  founder FROM manufacturers ORDER BY revenue DESC LIMIT 1",manufacturers
manufactory_1,Select the name and price of the cheapest product.,"SELECT name ,  price FROM products ORDER BY price ASC LIMIT 1",products
manufactory_1,What is the name and price of the cheapest product?,"SELECT name ,  price FROM products ORDER BY price ASC LIMIT 1",products
manufactory_1,Compute the average price of all the products.,SELECT AVG(price) FROM products,products
manufactory_1,Find the name of companies whose revenue is smaller than the revenue of all companies based in Austin.,SELECT name FROM manufacturers WHERE revenue  <  (SELECT MIN(revenue) FROM manufacturers WHERE headquarter  =  'Austin'),manufacturers
manufactory_1,"Find the average prices of all products from each manufacture, and list each company's name.","SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,What are the average prices of products for each manufacturer?,"SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,What are the names of all products?,SELECT name FROM products,products
manufactory_1,Find the name of companies whose revenue is greater than the average revenue of all companies.,SELECT name FROM manufacturers WHERE revenue  >  (SELECT AVG(revenue) FROM manufacturers),manufacturers
